site,url,widget_id,title,shape,doctype,html_open,head_open,body_open,rendered_sha256,source_archive_sha256,evidence
kr,https://beautyblossom.kr/39,w20250915d2f48088741a6,의료장비 전문 솔루션,document_bundle,true,true,true,true,37a500ceeb52dad2cf41a0821b1b99cc642490992fc4ff9ee97cc98ce6f62857,51f21a27dc0e7ed05023b2ecb09ed5f7d20f822910a5091422ba0e4761cd1ec3,pages/kr/4e2128de322e3dc9.html.gz
kr,https://beautyblossom.kr/55,w202502271d1ad1741ba0c,바디 부위별 시술 안내,document_bundle,true,true,true,true,3079e1525429360876a97e21793cb8d32de9dd3fe48a61a5ce6fb1ef162a3643,0abd020233c91cb534f6d6143548cb0dfd2a01515e8b2467eb8fded948c95357,pages/kr/87f43228b4593371.html.gz
kr,https://beautyblossom.kr/65,w202502045ed3501453393,3단계 필링 시스템,document_bundle,true,true,true,true,c0a8082cad0bdcd306c080d863d127c84581589ddb33bbffe4d7f68dd5a9255b,b7d5d57d908ecc9ff730b447cb9ad66ffdeb5b0a116fc00a0366621b6ddedf9c,pages/kr/f83b222d7220cd9e.html.gz
kr,https://beautyblossom.kr/69,w20250205132d72eada040,여드름 종류와 특징,document_bundle,true,true,true,true,5c7c4eeba41515e53d4eb972950ebcf073684481da116ef77000dcb8f19ae49f,e17395c49e8126257376eaaf2fa6c43f709a75d7bf5da1b732646739b9abf48b,pages/kr/31892d03199d2b25.html.gz
kr,https://beautyblossom.kr/73,w202502223d1b22b16e45b,피코슈어,document_bundle,true,true,true,true,c2f1c9787e54df063023a4292662c856110e394285e718d7d52d1d1ba3813f3a,45181200f09a26555c19f794914b25a9e06ae977e03185dbb9adf3fbea63a1f6,pages/kr/5d94041a3e081b89.html.gz
kr,https://beautyblossom.kr/alltite-lifting,w20260706930c981fd4075,올타이트(Alltite) — 진피·SMAS 동시 가열 RF 리프팅 | DLTD® 신기술,document_bundle,true,true,true,true,e4c50f4b485d5b68d36732cda351702f907417aa6bedcd999db388beb8790ca4,06d84420f5e1a0784f7f62c425aa8de6f755d1e74e9b3cbe92693276bdc30d1f,pages/kr/58e787a2387d2601.html.gz
kr,https://beautyblossom.kr/thread-lifting,w20260513c1c942c86f122,실리프팅 | 민트리프트 · 에피티콘 듀얼 라인업 - 뷰티블라썸의원,document_bundle,true,true,true,true,536369634bf2ece26b39df2576e8c0458073acdd7db9680a1a6ec442088c5315,6bd17d52c2ecd4ed011497fc0a603f24de5585d06dd0a605ec180c5562995803,pages/kr/96be6c116786c260.html.gz
kr,https://beautyblossom.kr/titanium-fortra-quattro,w2026070832539135516f0,홍대·합정 4파장 다이오드 리프팅 | 포트라 콰트로 - 뷰티블라썸의원,document_bundle,true,true,true,true,4fc97ae7439b31c791b825b1ca9bb6ab91e09a28417b142f0f681c60dde9e1ff,bed3b8d059654c58faa9588b8a4a9656a4959cfb7fe121c1139dd00445edd171,pages/kr/2a3ec5cf23866a3e.html.gz
en,https://en.beautyblossom.kr/100,w202503191fc94c552e612,Skin Analysis System,document_bundle,true,true,true,true,ed2bdc3cdcd49eb329c63cab9e2d733a84b03e0ac700ab0f5570cfcec6238ae6,f07c87f9916914d212558d13b6b842abf5ed240979a6926e24bb46e1efadc413,pages/en/beca7e0dfe318b71.html.gz
en,https://en.beautyblossom.kr/100,w20250319516fc77f1c27f,3D Skin Diagnosis Benefits,document_bundle,true,true,true,true,c90112216043ed849d09c22364528357595f2ef416705b266479601dbbf39cc6,f07c87f9916914d212558d13b6b842abf5ed240979a6926e24bb46e1efadc413,pages/en/beca7e0dfe318b71.html.gz
en,https://en.beautyblossom.kr/107,w20250713df0e94da60995,시술 전후 비교,document_bundle,true,true,true,true,e7793e78ad9061609bce2311e10c0487e6afa183127a6efc73f853c2fa29e79b,e52284181b474038002e74f257fd0d99938177094564745486bcef6dabec8059,pages/en/3a6e6d52e9ee3b99.html.gz
en,https://en.beautyblossom.kr/129,w202502284ba883423bb34,모던 카드 디자인,document_bundle,true,true,true,true,62dedf2373622ce570f850e679a8cfcbcad89e66812303e36807fef285d72f50,5769f7b2407117fad8128406839207080e03eb5b5c369deb60a0fbe498b549a9,pages/en/eecf1d0e5741a0b7.html.gz
en,https://en.beautyblossom.kr/130,w202502287791737fee006,피부 시술 비교 테이블,document_bundle,true,true,true,true,1e96450fa31a2384d34f20bda53f8df928595d994b25115c28ee6e672a19cc04,fe11aff83f0681d60f63ae4a95ffbc4c3cbc1634ce2d63503ed0f2259d1f10c9,pages/en/8a8c87690c5129c6.html.gz
en,https://en.beautyblossom.kr/28,w202502285677f15b5e0ce,Botox Treatment Areas,document_bundle,true,true,true,true,71dbe6baedebc76e3fd7ad095488c8570ada8b28d099b92179bdb33806593720,7143f3596c33ae301561ddc48ca0abe2b170e8f0aef0c761dfd80fe8cb9554f5,pages/en/e81fd56574e102fb.html.gz
en,https://en.beautyblossom.kr/39,w202509165b02f1968a7fd,의료장비 전문 솔루션,document_bundle,true,true,true,true,37a500ceeb52dad2cf41a0821b1b99cc642490992fc4ff9ee97cc98ce6f62857,f4617986108e6f1907e476bf1d4b9a38b9b12203e270fcc3b1b832839ba8bc7b,pages/en/c7cf1af755bafefa.html.gz
