site,url,image_index,src,data-src,alt,width,height,loading,alt_state,assessment
kr,https://beautyblossom.kr/110,12,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-03.png,,뷰티블라썸 이벤트,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,13,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,14,/common/img/default_profile.png,,프로필 정보수정,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,15,/common/img/flag_shapes/flag_kr_circle.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,16,/common/img/flag_shapes/flag_kr_square.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,17,https://cdn.imweb.me/thumbnail/20250204/0b26ba6e9a70b.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,18,https://cdn.imweb.me/thumbnail/20250204/5281c5d986298.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,19,https://cdn.imweb.me/thumbnail/20250204/fe099c0b77f61.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,20,https://cdn.imweb.me/thumbnail/20250204/3429daea7abea.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,21,https://cdn.imweb.me/thumbnail/20250123/20f17641117e7.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,22,https://cdn.imweb.me/thumbnail/20250123/638ddc001a446.png,,mobile background,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,23,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/d842989b825bb.png,,,,,,missing,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,1,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,2,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,3,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,4,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,5,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,6,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/74c39c3b833f4.png,,KR,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,7,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/612a73dbe23c6.png,,EN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,8,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/8b37b4496b6f4.png,,CN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,9,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/bc534ce03c3b1.png,,JP,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,10,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/ba8ef7729e956.png,,TW,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,11,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-02.png,,TH,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,12,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-03.png,,뷰티블라썸 이벤트,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,13,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,14,/common/img/default_profile.png,,프로필 정보수정,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,15,/common/img/flag_shapes/flag_kr_circle.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,16,/common/img/flag_shapes/flag_kr_square.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,17,https://cdn.imweb.me/thumbnail/20250208/19b2f14730b53.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,18,https://cdn.imweb.me/thumbnail/20250123/20f17641117e7.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,19,https://cdn.imweb.me/thumbnail/20250123/638ddc001a446.png,,mobile background,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/111,20,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/d842989b825bb.png,,,,,,missing,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,1,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,2,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,3,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,4,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,5,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,6,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/74c39c3b833f4.png,,KR,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,7,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/612a73dbe23c6.png,,EN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,8,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/8b37b4496b6f4.png,,CN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,9,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/bc534ce03c3b1.png,,JP,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,10,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/ba8ef7729e956.png,,TW,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,11,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-02.png,,TH,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,12,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-03.png,,뷰티블라썸 이벤트,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,13,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,14,/common/img/default_profile.png,,프로필 정보수정,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,15,/common/img/flag_shapes/flag_kr_circle.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,16,/common/img/flag_shapes/flag_kr_square.png,,,18,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/112,17,https://cdn.imweb.me/thumbnail/20250122/a405ab656c784.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/114,1,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
